Feature,Feature_old,CURIE,Definition,Synonyms,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB
Right Gyrus And Sulcus Cingul-Mid-Ant Area From Qdec,Right_gyrus_and_sulcus_cingul-Mid-Ant_area_from_Qdec_rh,,,,,,,,,,(G_and_S_cingul-Mid-Ant)SurfArea,,,,,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,,
Right Gyrus And Sulcus Cingul-Mid-Post Area From Qdec,Right_gyrus_and_sulcus_cingul-Mid-Post_area_from_Qdec_rh,,,,,,,,,,(G_and_S_cingul-Mid-Post)SurfArea,,,,,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_area,,
Right Gyrus Cingul-Post-dorsal Area From Qdec,Right_gyrus_cingul-Post-dorsal_area_from_Qdec_rh,,,,,,,,,,(G_cingul-Post-dorsal)SurfArea,,,,,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_area,,
Right Gyrus Cingul-Post-ventral Area From Qdec,Right_gyrus_cingul-Post-ventral_area_from_Qdec_rh,,,,,,,,,,(G_cingul-Post-ventral)SurfArea,,,,,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_area,,
Right Gyrus Cuneus Area From Qdec,Right_gyrus_cuneus_area_from_Qdec_rh,,,,,,,,,,(G_cuneus)SurfArea,,,,,rh_G_cuneus_area,rh_G_cuneus_area,rh_G_cuneus_area,rh_G_cuneus_area,rh_G_cuneus_area,rh_G_cuneus_area,rh_G_cuneus_area,,
Right Gyrus Frontal Inf-Opercular Area From Qdec,Right_gyrus_frontal_inf-Opercular_area_from_Qdec_rh,,,,,,,,,,(G_front_inf-Opercular)SurfArea,,,,,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_area,,
Right Gyrus Frontal Inf-Orbital Area From Qdec,Right_gyrus_frontal_inf-Orbital_area_from_Qdec_rh,,,,,,,,,,(G_front_inf-Orbital)SurfArea,,,,,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_area,,
Right Gyrus Frontal Inf-Triangul Area From Qdec,Right_gyrus_frontal_inf-Triangul_area_from_Qdec_rh,,,,,,,,,,(G_front_inf-Triangul)SurfArea,,,,,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_area,,
Right Gyrus Frontal Middle Area From Qdec,Right_gyrus_frontal_middle_area_from_Qdec_rh,,,,,,,,,,(G_front_middle)SurfArea,,,,,rh_G_front_middle_area,rh_G_front_middle_area,rh_G_front_middle_area,rh_G_front_middle_area,rh_G_front_middle_area,rh_G_front_middle_area,rh_G_front_middle_area,,
Right Gyrus Frontal Sup Area From Qdec,Right_gyrus_frontal_sup_area_from_Qdec_rh,,,,,,,,,,(G_front_sup)SurfArea,,,,,rh_G_front_sup_area,rh_G_front_sup_area,rh_G_front_sup_area,rh_G_front_sup_area,rh_G_front_sup_area,rh_G_front_sup_area,rh_G_front_sup_area,,
Right Gyrus Ins Lg And Sulcus Cent Ins Area From Qdec,Right_gyrus_Ins_lg_and_sulcus_cent_ins_area_from_Qdec_rh,,,,,,,,,,(G_Ins_lg_and_S_cent_ins)SurfArea,,,,,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_area,,
Right Gyrus Insular Short Area From Qdec,Right_gyrus_insular_short_area_from_Qdec_rh,,,,,,,,,,(G_insular_short)SurfArea,,,,,rh_G_insular_short_area,rh_G_insular_short_area,rh_G_insular_short_area,rh_G_insular_short_area,rh_G_insular_short_area,rh_G_insular_short_area,rh_G_insular_short_area,,
Right Gyrus Occipital Middle Area From Qdec,Right_gyrus_occipital_middle_area_from_Qdec_rh,,,,,,,,,,(G_occipital_middle)SurfArea,,,,,rh_G_occipital_middle_area,rh_G_occipital_middle_area,rh_G_occipital_middle_area,rh_G_occipital_middle_area,rh_G_occipital_middle_area,rh_G_occipital_middle_area,rh_G_occipital_middle_area,,
Right Gyrus Occipital Sup Area From Qdec,Right_gyrus_occipital_sup_area_from_Qdec_rh,,,,,,,,,,(G_occipital_sup)SurfArea,,,,,rh_G_occipital_sup_area,rh_G_occipital_sup_area,rh_G_occipital_sup_area,rh_G_occipital_sup_area,rh_G_occipital_sup_area,rh_G_occipital_sup_area,rh_G_occipital_sup_area,,
Right Gyrus Oc-temp Lat-fusifor Area From Qdec,Right_gyrus_oc-temp_lat-fusifor_area_from_Qdec_rh,,,,,,,,,,(G_oc-temp_lat-fusifor)SurfArea,,,,,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_area,,
Right Gyrus Oc-temp Med-Lingual Area From Qdec,Right_gyrus_oc-temp_med-Lingual_area_from_Qdec_rh,,,,,,,,,,(G_oc-temp_med-Lingual)SurfArea,,,,,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_area,,
Right Gyrus Oc-temp Med-Parahip Area From Qdec,Right_gyrus_oc-temp_med-Parahip_area_from_Qdec_rh,,,,,,,,,,(G_oc-temp_med-Parahip)SurfArea,,,,,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_area,,
Right Gyrus Orbital Area From Qdec,Right_gyrus_orbital_area_from_Qdec_rh,,,,,,,,,,(G_orbital)SurfArea,,,,,rh_G_orbital_area,rh_G_orbital_area,rh_G_orbital_area,rh_G_orbital_area,rh_G_orbital_area,rh_G_orbital_area,rh_G_orbital_area,,
Right Gyrus Pariet Inf-Angular Area From Qdec,Right_gyrus_pariet_inf-Angular_area_from_Qdec_rh,,,,,,,,,,(G_pariet_inf-Angular)SurfArea,,,,,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_area,,
Right Gyrus Pariet Inf-Supramar Area From Qdec,Right_gyrus_pariet_inf-Supramar_area_from_Qdec_rh,,,,,,,,,,(G_pariet_inf-Supramar)SurfArea,,,,,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_area,,
Right Gyrus Parietal Sup Area From Qdec,Right_gyrus_parietal_sup_area_from_Qdec_rh,,,,,,,,,,(G_parietal_sup)SurfArea,,,,,rh_G_parietal_sup_area,rh_G_parietal_sup_area,rh_G_parietal_sup_area,rh_G_parietal_sup_area,rh_G_parietal_sup_area,rh_G_parietal_sup_area,rh_G_parietal_sup_area,,
Right Gyrus Postcentral Area From Qdec,Right_gyrus_postcentral_area_from_Qdec_rh,,,,,,,,,,(G_postcentral)SurfArea,,,,,rh_G_postcentral_area,rh_G_postcentral_area,rh_G_postcentral_area,rh_G_postcentral_area,rh_G_postcentral_area,rh_G_postcentral_area,rh_G_postcentral_area,,
Right Gyrus Precentral Area From Qdec,Right_gyrus_precentral_area_from_Qdec_rh,,,,,,,,,,(G_precentral)SurfArea,,,,,rh_G_precentral_area,rh_G_precentral_area,rh_G_precentral_area,rh_G_precentral_area,rh_G_precentral_area,rh_G_precentral_area,rh_G_precentral_area,,
Right Gyrus Precuneus Area From Qdec,Right_gyrus_precuneus_area_from_Qdec_rh,,,,,,,,,,(G_precuneus)SurfArea,,,,,rh_G_precuneus_area,rh_G_precuneus_area,rh_G_precuneus_area,rh_G_precuneus_area,rh_G_precuneus_area,rh_G_precuneus_area,rh_G_precuneus_area,,
Right Gyrus Rectus Area From Qdec,Right_gyrus_rectus_area_from_Qdec_rh,,,,,,,,,,(G_rectus)SurfArea,,,,,rh_G_rectus_area,rh_G_rectus_area,rh_G_rectus_area,rh_G_rectus_area,rh_G_rectus_area,rh_G_rectus_area,rh_G_rectus_area,,
Right Gyrus Subcallosal Area From Qdec,Right_gyrus_subcallosal_area_from_Qdec_rh,,,,,,,,,,(G_subcallosal)SurfArea,,,,,rh_G_subcallosal_area,rh_G_subcallosal_area,rh_G_subcallosal_area,rh_G_subcallosal_area,rh_G_subcallosal_area,rh_G_subcallosal_area,rh_G_subcallosal_area,,
Right Gyrus Temp Sup-G T Transv Area From Qdec,Right_gyrus_temp_sup-G_T_transv_area_from_Qdec_rh,,,,,,,,,,(G_temp_sup-G_T_transv)SurfArea,,,,,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_area,,
Right Gyrus Temp Sup-Lateral Area From Qdec,Right_gyrus_temp_sup-Lateral_area_from_Qdec_rh,,,,,,,,,,(G_temp_sup-Lateral)SurfArea,,,,,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_area,,
Right Gyrus Temp Sup-Plan Polar Area From Qdec,Right_gyrus_temp_sup-Plan_polar_area_from_Qdec_rh,,,,,,,,,,(G_temp_sup-Plan_polar)SurfArea,,,,,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_area,,
Right Gyrus Temp Sup-Plan Tempo Area From Qdec,Right_gyrus_temp_sup-Plan_tempo_area_from_Qdec_rh,,,,,,,,,,(G_temp_sup-Plan_tempo)SurfArea,,,,,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_area,,
Right Gyrus Temporal Inferior Area From Qdec,Right_gyrus_temporal_inferior_area_from_Qdec_rh,UBERON:0002751,,,,,,,,,(G_temporal_inf)SurfArea,,,,,rh_G_temporal_inf_area,rh_G_temporal_inf_area,rh_G_temporal_inf_area,rh_G_temporal_inf_area,rh_G_temporal_inf_area,rh_G_temporal_inf_area,rh_G_temporal_inf_area,,
Right Gyrus Temporal Middle Area From Qdec,Right_gyrus_temporal_middle_area_from_Qdec_rh,,,,,,,,,,(G_temporal_middle)SurfArea,,,,,rh_G_temporal_middle_area,rh_G_temporal_middle_area,rh_G_temporal_middle_area,rh_G_temporal_middle_area,rh_G_temporal_middle_area,rh_G_temporal_middle_area,rh_G_temporal_middle_area,,
Right Lat Fis-ant-Horizont Area From Qdec,Right_Lat_Fis-ant-Horizont_area_from_Qdec_rh,,,,,,,,,,(Lat_Fis-ant-Horizont)SurfArea,,,,,rh_Lat_Fis-ant-Horizont_area,rh_Lat_Fis-ant-Horizont_area,rh_Lat_Fis-ant-Horizont_area,rh_Lat_Fis-ant-Horizont_area,rh_Lat_Fis-ant-Horizont_area,rh_Lat_Fis-ant-Horizont_area,rh_Lat_Fis-ant-Horizont_area,,
Right Lat Fis-ant-Vertical Area From Qdec,Right_Lat_Fis-ant-Vertical_area_from_Qdec_rh,,,,,,,,,,(Lat_Fis-ant-Vertical)SurfArea,,,,,rh_Lat_Fis-ant-Vertical_area,rh_Lat_Fis-ant-Vertical_area,rh_Lat_Fis-ant-Vertical_area,rh_Lat_Fis-ant-Vertical_area,rh_Lat_Fis-ant-Vertical_area,rh_Lat_Fis-ant-Vertical_area,rh_Lat_Fis-ant-Vertical_area,,
Right Lat Fis-post Area From Qdec,Right_Lat_Fis-post_area_from_Qdec_rh,,,,,,,,,,(Lat_Fis-post)SurfArea,,,,,rh_Lat_Fis-post_area,rh_Lat_Fis-post_area,rh_Lat_Fis-post_area,rh_Lat_Fis-post_area,rh_Lat_Fis-post_area,rh_Lat_Fis-post_area,rh_Lat_Fis-post_area,,
Right Pole Occipital Area From Qdec,Right_Pole_occipital_area_from_Qdec_rh,,,,,,,,,,(Pole_occipital)SurfArea,,,,,rh_Pole_occipital_area,rh_Pole_occipital_area,rh_Pole_occipital_area,rh_Pole_occipital_area,rh_Pole_occipital_area,rh_Pole_occipital_area,rh_Pole_occipital_area,,
Right Pole Temporal Area From Qdec,Right_Pole_temporal_area_from_Qdec_rh,,,,,,,,,,(Pole_temporal)SurfArea,,,,,rh_Pole_temporal_area,rh_Pole_temporal_area,rh_Pole_temporal_area,rh_Pole_temporal_area,rh_Pole_temporal_area,rh_Pole_temporal_area,rh_Pole_temporal_area,,
Right Sulcus Calcarine Area From Qdec,Right_sulcus_calcarine_area_from_Qdec_rh,,,,,,,,,,(S_calcarine)SurfArea,,,,,rh_S_calcarine_area,rh_S_calcarine_area,rh_S_calcarine_area,rh_S_calcarine_area,rh_S_calcarine_area,rh_S_calcarine_area,rh_S_calcarine_area,,
Right Sulcus Central Area From Qdec,Right_sulcus_central_area_from_Qdec_rh,,,,,,,,,,(S_central)SurfArea,,,,,rh_S_central_area,rh_S_central_area,rh_S_central_area,rh_S_central_area,rh_S_central_area,rh_S_central_area,rh_S_central_area,,
Right Sulcus Cingul-Marginalis Area From Qdec,Right_sulcus_cingul-Marginalis_area_from_Qdec_rh,,,,,,,,,,(S_cingul-Marginalis)SurfArea,,,,,rh_S_cingul-Marginalis_area,rh_S_cingul-Marginalis_area,rh_S_cingul-Marginalis_area,rh_S_cingul-Marginalis_area,rh_S_cingul-Marginalis_area,rh_S_cingul-Marginalis_area,rh_S_cingul-Marginalis_area,,
Right Sulcus Circular Insula Anterior Area From Qdec,Right_sulcus_circular_insula_anterior_area_from_Qdec_rh,,,,,,,,,,(S_circular_insula_ant)SurfArea,,,,,rh_S_circular_insula_ant_area,rh_S_circular_insula_ant_area,rh_S_circular_insula_ant_area,rh_S_circular_insula_ant_area,rh_S_circular_insula_ant_area,rh_S_circular_insula_ant_area,rh_S_circular_insula_ant_area,,
Right Sulcus Circular Insula Inferior Area From Qdec,Right_sulcus_circular_insula_inferior_area_from_Qdec_rh,,,,,,,,,,(S_circular_insula_inf)SurfArea,,,,,rh_S_circular_insula_inf_area,rh_S_circular_insula_inf_area,rh_S_circular_insula_inf_area,rh_S_circular_insula_inf_area,rh_S_circular_insula_inf_area,rh_S_circular_insula_inf_area,rh_S_circular_insula_inf_area,,
Right Sulcus Circular Insula Sup Area From Qdec,Right_sulcus_circular_insula_sup_area_from_Qdec_rh,,,,,,,,,,(S_circular_insula_sup)SurfArea,,,,,rh_S_circular_insula_sup_area,rh_S_circular_insula_sup_area,rh_S_circular_insula_sup_area,rh_S_circular_insula_sup_area,rh_S_circular_insula_sup_area,rh_S_circular_insula_sup_area,rh_S_circular_insula_sup_area,,
Right Sulcus Collat Transv Anterior Area From Qdec,Right_sulcus_collat_transv_anterior_area_from_Qdec_rh,,,,,,,,,,(S_collat_transv_ant)SurfArea,,,,,rh_S_collat_transv_ant_area,rh_S_collat_transv_ant_area,rh_S_collat_transv_ant_area,rh_S_collat_transv_ant_area,rh_S_collat_transv_ant_area,rh_S_collat_transv_ant_area,rh_S_collat_transv_ant_area,,
Right Sulcus Collat Transv Posterior Area From Qdec,Right_sulcus_collat_transv_posterior_area_from_Qdec_rh,,,,,,,,,,(S_collat_transv_post)SurfArea,,,,,rh_S_collat_transv_post_area,rh_S_collat_transv_post_area,rh_S_collat_transv_post_area,rh_S_collat_transv_post_area,rh_S_collat_transv_post_area,rh_S_collat_transv_post_area,rh_S_collat_transv_post_area,,
Right Sulcus Frontal Inferior Area From Qdec,Right_sulcus_frontal_inferior_area_from_Qdec_rh,,,,,,,,,,(S_front_inf)SurfArea,,,,,rh_S_front_inf_area,rh_S_front_inf_area,rh_S_front_inf_area,rh_S_front_inf_area,rh_S_front_inf_area,rh_S_front_inf_area,rh_S_front_inf_area,,
Right Sulcus Frontal Middle Area From Qdec,Right_sulcus_frontal_middle_area_from_Qdec_rh,,,,,,,,,,(S_front_middle)SurfArea,,,,,rh_S_front_middle_area,rh_S_front_middle_area,rh_S_front_middle_area,rh_S_front_middle_area,rh_S_front_middle_area,rh_S_front_middle_area,rh_S_front_middle_area,,
Right Sulcus Frontal Sup Area From Qdec,Right_sulcus_frontal_sup_area_from_Qdec_rh,,,,,,,,,,(S_front_sup)SurfArea,,,,,rh_S_front_sup_area,rh_S_front_sup_area,rh_S_front_sup_area,rh_S_front_sup_area,rh_S_front_sup_area,rh_S_front_sup_area,rh_S_front_sup_area,,
Right Sulcus Interm Prim-Jensen Area From Qdec,Right_sulcus_interm_prim-Jensen_area_from_Qdec_rh,,,,,,,,,,(S_interm_prim-Jensen)SurfArea,,,,,rh_S_interm_prim-Jensen_area,rh_S_interm_prim-Jensen_area,rh_S_interm_prim-Jensen_area,rh_S_interm_prim-Jensen_area,rh_S_interm_prim-Jensen_area,rh_S_interm_prim-Jensen_area,rh_S_interm_prim-Jensen_area,,
Right Sulcus Intrapariet And P Trans Area From Qdec,Right_sulcus_intrapariet_and_P_trans_area_from_Qdec_rh,,,,,,,,,,(S_intrapariet_and_P_trans)SurfArea,,,,,rh_S_intrapariet_and_P_trans_area,rh_S_intrapariet_and_P_trans_area,rh_S_intrapariet_and_P_trans_area,rh_S_intrapariet_and_P_trans_area,rh_S_intrapariet_and_P_trans_area,rh_S_intrapariet_and_P_trans_area,rh_S_intrapariet_and_P_trans_area,,
Right Sulcus Oc Middle And Lunatus Area From Qdec,Right_sulcus_oc_middle_and_Lunatus_area_from_Qdec_rh,,,,,,,,,,(S_oc_middle_and_Lunatus)SurfArea,,,,,rh_S_oc_middle_and_Lunatus_area,rh_S_oc_middle_and_Lunatus_area,rh_S_oc_middle_and_Lunatus_area,rh_S_oc_middle_and_Lunatus_area,rh_S_oc_middle_and_Lunatus_area,rh_S_oc_middle_and_Lunatus_area,rh_S_oc_middle_and_Lunatus_area,,
Right Sulcus Oc Sup And Transversal Area From Qdec,Right_sulcus_oc_sup_and_transversal_area_from_Qdec_rh,,,,,,,,,,(S_oc_sup_and_transversal)SurfArea,,,,,rh_S_oc_sup_and_transversal_area,rh_S_oc_sup_and_transversal_area,rh_S_oc_sup_and_transversal_area,rh_S_oc_sup_and_transversal_area,rh_S_oc_sup_and_transversal_area,rh_S_oc_sup_and_transversal_area,rh_S_oc_sup_and_transversal_area,,
Right Sulcus Occipital Anterior Area From Qdec,Right_sulcus_occipital_anterior_area_from_Qdec_rh,,,,,,,,,,(S_occipital_ant)SurfArea,,,,,rh_S_occipital_ant_area,rh_S_occipital_ant_area,rh_S_occipital_ant_area,rh_S_occipital_ant_area,rh_S_occipital_ant_area,rh_S_occipital_ant_area,rh_S_occipital_ant_area,,
Right Sulcus Oc-temp Lat Area From Qdec,Right_sulcus_oc-temp_lat_area_from_Qdec_rh,,,,,,,,,,(S_oc-temp_lat)SurfArea,,,,,rh_S_oc-temp_lat_area,rh_S_oc-temp_lat_area,rh_S_oc-temp_lat_area,rh_S_oc-temp_lat_area,rh_S_oc-temp_lat_area,rh_S_oc-temp_lat_area,rh_S_oc-temp_lat_area,,
Right Sulcus Oc-temp Med And Lingual Area From Qdec,Right_sulcus_oc-temp_med_and_Lingual_area_from_Qdec_rh,,,,,,,,,,(S_oc-temp_med_and_Lingual)SurfArea,,,,,rh_S_oc-temp_med_and_Lingual_area,rh_S_oc-temp_med_and_Lingual_area,rh_S_oc-temp_med_and_Lingual_area,rh_S_oc-temp_med_and_Lingual_area,rh_S_oc-temp_med_and_Lingual_area,rh_S_oc-temp_med_and_Lingual_area,rh_S_oc-temp_med_and_Lingual_area,,
Right Sulcus Orbital Lateral Area From Qdec,Right_sulcus_orbital_lateral_area_from_Qdec_rh,,,,,,,,,,(S_orbital_lateral)SurfArea,,,,,rh_S_orbital_lateral_area,rh_S_orbital_lateral_area,rh_S_orbital_lateral_area,rh_S_orbital_lateral_area,rh_S_orbital_lateral_area,rh_S_orbital_lateral_area,rh_S_orbital_lateral_area,,
Right Sulcus Orbital Med-olfact Area From Qdec,Right_sulcus_orbital_med-olfact_area_from_Qdec_rh,,,,,,,,,,(S_orbital_med-olfact)SurfArea,,,,,rh_S_orbital_med-olfact_area,rh_S_orbital_med-olfact_area,rh_S_orbital_med-olfact_area,rh_S_orbital_med-olfact_area,rh_S_orbital_med-olfact_area,rh_S_orbital_med-olfact_area,rh_S_orbital_med-olfact_area,,
Right Sulcus Orbital-H Shaped Area From Qdec,Right_sulcus_orbital-H_Shaped_area_from_Qdec_rh,,,,,,,,,,(S_orbital-H_Shaped)SurfArea,,,,,rh_S_orbital-H_Shaped_area,rh_S_orbital-H_Shaped_area,rh_S_orbital-H_Shaped_area,rh_S_orbital-H_Shaped_area,rh_S_orbital-H_Shaped_area,rh_S_orbital-H_Shaped_area,rh_S_orbital-H_Shaped_area,,
Right Sulcus Parieto Occipital Area From Qdec,Right_sulcus_parieto_occipital_area_from_Qdec_rh,,,,,,,,,,(S_parieto_occipital)SurfArea,,,,,rh_S_parieto_occipital_area,rh_S_parieto_occipital_area,rh_S_parieto_occipital_area,rh_S_parieto_occipital_area,rh_S_parieto_occipital_area,rh_S_parieto_occipital_area,rh_S_parieto_occipital_area,,
Right Sulcus Pericallosal Area From Qdec,Right_sulcus_pericallosal_area_from_Qdec_rh,,,,,,,,,,(S_pericallosal)SurfArea,,,,,rh_S_pericallosal_area,rh_S_pericallosal_area,rh_S_pericallosal_area,rh_S_pericallosal_area,rh_S_pericallosal_area,rh_S_pericallosal_area,rh_S_pericallosal_area,,
Right Sulcus Postcentral Area From Qdec,Right_sulcus_postcentral_area_from_Qdec_rh,,,,,,,,,,(S_postcentral)SurfArea,,,,,rh_S_postcentral_area,rh_S_postcentral_area,rh_S_postcentral_area,rh_S_postcentral_area,rh_S_postcentral_area,rh_S_postcentral_area,rh_S_postcentral_area,,
Right Sulcus Precentral-inf-part Area From Qdec,Right_sulcus_precentral-inf-part_area_from_Qdec_rh,,,,,,,,,,(S_precentral-inf-part)SurfArea,,,,,rh_S_precentral-inf-part_area,rh_S_precentral-inf-part_area,rh_S_precentral-inf-part_area,rh_S_precentral-inf-part_area,rh_S_precentral-inf-part_area,rh_S_precentral-inf-part_area,rh_S_precentral-inf-part_area,,
Right Sulcus Precentral-sup-part Area From Qdec,Right_sulcus_precentral-sup-part_area_from_Qdec_rh,,,,,,,,,,(S_precentral-sup-part)SurfArea,,,,,rh_S_precentral-sup-part_area,rh_S_precentral-sup-part_area,rh_S_precentral-sup-part_area,rh_S_precentral-sup-part_area,rh_S_precentral-sup-part_area,rh_S_precentral-sup-part_area,rh_S_precentral-sup-part_area,,
Right Sulcus Suborbital Area From Qdec,Right_sulcus_suborbital_area_from_Qdec_rh,,,,,,,,,,(S_suborbital)SurfArea,,,,,rh_S_suborbital_area,rh_S_suborbital_area,rh_S_suborbital_area,rh_S_suborbital_area,rh_S_suborbital_area,rh_S_suborbital_area,rh_S_suborbital_area,,
Right Sulcus Subparietal Area From Qdec,Right_sulcus_subparietal_area_from_Qdec_rh,,,,,,,,,,(S_subparietal)SurfArea,,,,,rh_S_subparietal_area,rh_S_subparietal_area,rh_S_subparietal_area,rh_S_subparietal_area,rh_S_subparietal_area,rh_S_subparietal_area,rh_S_subparietal_area,,
Right Sulcus Temporal Inferior Area From Qdec,Right_sulcus_temporal_inferior_area_from_Qdec_rh,,,,,,,,,,(S_temporal_inf)SurfArea,,,,,rh_S_temporal_inf_area,rh_S_temporal_inf_area,rh_S_temporal_inf_area,rh_S_temporal_inf_area,rh_S_temporal_inf_area,rh_S_temporal_inf_area,rh_S_temporal_inf_area,,
Right Sulcus Temporal Sup Area From Qdec,Right_sulcus_temporal_sup_area_from_Qdec_rh,,,,,,,,,,(S_temporal_sup)SurfArea,,,,,rh_S_temporal_sup_area,rh_S_temporal_sup_area,rh_S_temporal_sup_area,rh_S_temporal_sup_area,rh_S_temporal_sup_area,rh_S_temporal_sup_area,rh_S_temporal_sup_area,,
Right Sulcus Temporal Transverse Area From Qdec,Right_sulcus_temporal_transverse_area_from_Qdec_rh,,,,,,,,,,(S_temporal_transverse)SurfArea,,,,,rh_S_temporal_transverse_area,rh_S_temporal_transverse_area,rh_S_temporal_transverse_area,rh_S_temporal_transverse_area,rh_S_temporal_transverse_area,rh_S_temporal_transverse_area,rh_S_temporal_transverse_area,,
Right Gyrus And Sulcus Frontomargin Meancurv From Qdec,Right_gyrus_and_sulcus_frontomargin_meancurv_from_Qdec_rh,,,,,,,,,,(G_and_S_frontomargin)MeanCurv,,,,,rh_G_and_S_frontomargin_meancurv,rh_G_and_S_frontomargin_meancurv,rh_G_and_S_frontomargin_meancurv,rh_G_and_S_frontomargin_meancurv,rh_G_and_S_frontomargin_meancurv,rh_G_and_S_frontomargin_meancurv,rh_G_and_S_frontomargin_meancurv,,
