Feature	A4	ABVIB	ADNI	AIBL	ANM	ARWIBO	DOD-ADNI	EDSD	EMIF	EPAD	I-ADNI	JADNI	NACC	OASIS	PREVENT-AD	PharmaCog	ROSMAP	VASCULAR	VITA	WMH-AD
Left Caudal Anterior Cingulate Area			1			1	1	1			1	1		1		1			1	1
Left Caudal Anterior Cingulate Cortical Mean			1			1	1	1			1	1		1		1			1	1
Left Caudal Middle Frontal Area			1			1	1	1			1	1		1		1			1	1
Left Cuneus Area			1			1	1	1			1	1		1		1			1	1
Left Entorhinal Area			1			1	1	1			1	1		1		1			1	1
Left Frontal Pole Area			1			1	1	1			1	1		1		1			1	1
Left Frontal Pole Thickness			1		1	1	1	1			1	1		1		1			1	1
Left Fusiform Area			1			1	1	1			1	1		1		1			1	1
Left Inferior Parietal Area			1			1	1	1			1	1		1		1			1	1
Left Lateraloccipital Area			1			1	1	1			1	1		1		1			1	1
Left Lateral Orbitofrontal Cortical Mean			1			1	1	1			1	1		1		1			1	1
Left Lateral Orbitofrontal Area			1			1	1	1			1	1		1		1			1	1
Left Lingual Area			1			1	1	1			1	1		1		1			1	1
Left Medialorbitofrontal Area			1			1	1	1			1	1		1		1			1	1
Left Middletemporal Area			1			1	1	1			1	1		1		1			1	1
Left Paracentral Area			1			1	1	1			1	1		1		1			1	1
Left Parahippocampal Area			1			1	1	1			1	1		1		1			1	1
Left Par Sopercularis Area			1			1	1	1			1	1		1		1			1	1
Left Pars Orbitalis Area			1			1	1	1			1	1		1		1			1	1
Left Pars Triangularis Area			1			1	1	1			1	1		1		1			1	1
Left Pericalcarine Area			1			1	1	1			1	1		1		1			1	1
Left Postcentral Area			1			1	1	1			1	1		1		1			1	1
Left Posteriorcingulate Area			1			1	1	1			1	1		1		1			1	1
Left Precentral Area			1			1	1	1			1	1		1		1			1	1
Left Precuneus Area			1			1	1	1			1	1		1		1			1	1
Left Rostral Anterior Cingulate Area			1			1	1	1			1	1		1		1			1	1
Left Rostral Middle Frontal Area			1			1	1	1			1	1		1		1			1	1
Left Superiorfrontal Area			1			1	1	1			1	1		1		1			1	1
Left Superiorparietal Area			1			1	1	1			1	1		1		1			1	1
Left Superiortemporal Area			1			1	1	1			1	1		1		1			1	1
Left Supramarginal Area			1			1	1	1			1	1		1		1			1	1
Left Temporal Pole Area			1			1	1	1			1	1		1		1			1	1
Left Temporal Pole Thickness			1		1	1	1	1			1	1		1		1			1	1
Left Transverse Temporal Area			1			1	1	1			1	1		1		1			1	1
Non-White-matter-hypointensities			1		1	1	1	1			1	1		1		1			1	1
Optic Chiasm Volume			1		1	1	1	1			1	1		1		1			1	1
Right Banks Of The Superior Temoral Sulcus Volume			1			1	1	1			1	1		1		1			1	1
Right Banks Of The Superior Temoral Sulcus Thickness			1		1	1	1	1			1	1		1		1			1	1
Right Banks Of The Superior Temoral Sulcus Area			1			1	1	1			1	1		1		1			1	1
Right Caudal Anterior Cingulate Volume			1			1	1	1			1	1		1		1			1	1
Right Caudal Anterior Cingulate Area			1			1	1	1			1	1		1		1			1	1
Right Caudal Middle Frontal Area			1			1	1	1			1	1		1		1			1	1
Right Cuneus Area			1			1	1	1			1	1		1		1			1	1
Right Cuneus Volume			1			1	1	1			1	1		1		1			1	1
Right Entorightinal Area			1			1	1	1			1	1		1		1			1	1
Right Frontal Pole Thickness			1		1	1	1	1			1	1		1		1			1	1
Right Frontalpole Area			1			1	1	1			1	1		1		1			1	1
Right Fusiform Area			1			1	1	1			1	1		1		1			1	1
Right Inferior Parietal Area			1			1	1	1			1	1		1		1			1	1
Right Inferior Temporal Area			1			1	1	1			1	1		1		1			1	1
Left Inferior Temporal Area			1			1	1	1			1	1		1		1			1	1
Right Isthmuscingulate Volume			1			1	1	1			1	1		1		1			1	1
Left Isthmus Cingulate Area			1			1	1	1			1	1		1		1			1	1
Right Lateraloccipital Area			1			1	1	1			1	1		1		1			1	1
Right Lateralorbitofrontal Area			1			1	1	1			1	1		1		1			1	1
Right Lateralorbitofrontal Volume			1			1	1	1			1	1		1		1			1	1
Right Lingual Area			1			1	1	1			1	1		1		1			1	1
Right Medialorbitofrontal Area			1			1	1	1			1	1		1		1			1	1
Right Middletemporal Area			1			1	1	1			1	1		1		1			1	1
Left Sulcus Calcarine Volume						1		1		1	1	1		1		1			1	1
Right Sulcus Calcarine Volume						1		1		1	1	1		1		1			1	1
CC Posterior From Qdec Aseg					1	1		1			1	1		1		1			1	1
CC Mid Posterior From Qdec Aseg					1	1		1			1	1		1		1			1	1
CC Central From Qdec Aseg					1	1		1			1	1		1		1			1	1
CC Mid Anterior From Qdec Aseg					1	1		1			1	1		1		1			1	1
CC Anterior From Qdec Aseg					1	1		1			1	1		1		1			1	1
BrainSegVol From Qdec Aseg					1	1		1			1			1		1			1	1
BrainSegVolNotVent From Qdec Aseg					1	1		1			1			1		1			1	1
BrainSegVolNotVentSurf From Qdec Aseg					1	1		1			1			1		1			1	1
LeftCortexVol From Qdec Aseg					1	1		1			1	1		1		1			1	1
RightCortexVol From Qdec Aseg					1	1		1			1	1		1		1			1	1
CortexVol From Qdec Aseg					1	1		1			1	1		1		1			1	1
SubCortGrayVol From Qdec Aseg			1		1	1	1	1			1	1		1		1			1	1
TotalGrayVol From Qdec Aseg					1	1		1			1			1		1			1	1
SupraTentorialVol From Qdec Aseg					1	1		1			1	1		1		1			1	1
SupraTentorialVolNotVent From Qdec Aseg					1	1		1			1			1		1			1	1
SupraTentorialVolNotVentVox From Qdec Aseg					1	1		1			1			1		1			1	1
MaskVol From Qdec Aseg					1	1		1			1			1		1			1	1
BrainSegVol-to-eTIV From Qdec Aseg					1	1		1			1			1		1			1	1
MaskVol-to-eTIV From Qdec Aseg					1	1		1			1			1		1			1	1
Left SurfaceHoles From Qdec Aseg					1	1		1			1			1		0			0	1
Right SurfaceHoles From Qdec Aseg					1	1		1			1			1		0			0	1
SurfaceHoles From Qdec Aseg					1	1		1			1			1		0			0	1
Left Gyrus And Sulcus Frontomargin Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Occipital Inferior Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Subcentral Area From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Transv Frontopol Area From Qdec						1		1			1	1		1		1			1	1
